Interview ID,Date Time,Can I take a few pictures of your house?,In what language would you prefer to run the interview?,ID,"What training have you received, if any, from the municipality or other organisations active in the community?",Which skills would you like to develop further and why?,"Describe how you can contribute towards the improvement of your settlement? (e.g., what skills)",What is your main way to receive information?,What is your main way to communicate with others?,Are you part of the community leadership?,"List any self-organisation initiatives for the improvement of this settlement that you have been part of? (e.g. group savings, farming, cleaning campaign, self-building, etc.)","What community organisation and/or social activity group you are part of? (e.g. church, stokvel, NGO, NPO, Community based organisation, etc.)",What is your average monthly household income?,Where is your home?,Who would you define as the head of your household?,Number of people living in the same household?,How has your economic situation changed since you moved here?,Why did you move to this settlement?,What best describes your accommodation status?,What country do you come from?,What is the highest level of education have you completed?,What year did you move to the settelment?,Where do you come from?,What is your current occupation?,You chose other - What is your occupation?,How do you sustain yourself?,What is the employment status of the participant?,Did you build this house yourself?,Who built your house?,What are the 3 main building materials used to build your house?,What other materials did you use for building your house?,Please describe any self-maintenance or improvements you have made to your house?,What would you change about your house and why?,What would you like to change/worries you the most about living in this settlement and why?,Describe what you like most/makes you most happy about living in this settlement and why?,Boots,Tools,Cooking Utensils,Drainage Issues,Roof,Enterance,Materials Of Construction,Sanitation,Windows,Veg Garden,Cooling Methods,Washing Utensils,Decoration,Heating Methods,How do you dispose of your garbage?,What would you change about garbage disposal and why?,Do you grow your own vegetables?,(If yes) is it for your family or for sale?,Why don't you grow your own vegetables?,What modes of transport are you using to move around?,What other risks or hazards affect you and/or your community?,Have you ever experienced flooding in your home? ,How many times do you experience flooding in your home every year?,In which months have you experienced floods in your home?,Please describe how you were affected by the flooding?,Who would you contact in case of a flood?,Please describe what you would do (actions you take) in case of a flood.,Have you experienced fire in your home?,(If yes) describe how are you were affected by fire?,Who would you contact incase of a fire?,Please describe what you would do (actions you take) in case of fire.,Which of the following items do you own personally?,Item 4 - Audio,Item 5 - Audio,What are the three biggest problems in your life?,Item 3 - Audio 2,Which items do you have currently have access to in your daily life?,"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important",Are you satified with the water available to you (supply or quality)?,If other: What do you use water for?,(If no) why are you not satisfied with your water?,What do you use the water for?,What type of toilet do you use?,Where do you get your water from?
634c5f2a5385f7ab67ba096a,2022-10-16T19:44:42,Yes,zu,181854482,There is none,I don't have the strength,I don't have any skill to improve the settlement,Mobile phone,Mobile phone,No,There is none,There is none,<500,"-29.560793,30.4094688",Grandpa,1.0,Hasn't changed,I came here to look for job opportunities in this area because there are no part-time jobs at home. I came here after my mother died but I never got a part-time job.,fully owned,,Primary,1994-01-01,KwaZulu-Natal,Accountant,,,Wage employee,Yes,,"Corrugated iron sheets,plastic,timber",,There is none,I don't have the money to change the house,The thing that I am most worried about is that the people who are using drugs (amapara) they are stealing our belongings.,The thing that makes me happy about this place is that I get money because I work part-time here.,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394898364.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394852064.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394886783.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394791773.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394769471.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394808400.jpg,,,,,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394873088.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854482/1662394917881.jpg,,I burn it,By building a hole,No,,I don't have a garden plot,minibus taxi,There is none,Yes,1.0,"September,December","It disturbed me a lot because the water entered into the house, but it is not something that comes every year, they pass because I have not seen floods for three years.","Family,Neighbour",I can call the neighbor,Yes,The fire bothered me a lot because it came burn things and we don't have part-time jobs to buy what has already burned.,"Family,Firefighter",I can call the fire brigade department,"Soap,Water,Mobile Phone,Fire,House","soap is important because I bath with it, and I wash with it",I chose the fridge because I keep food and drinks in it,"important things to eat, water to use the mind",I chose fire because it helps when I am cooking,"Light Bulb,Soap,Vegetables,Fan,Meat,Water","House,Toilet flush,Soap,Fire,Fridge",Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634c670fd21801ebdb914d53,2022-10-16T20:18:23,Yes,en,183370132,,Farming because I love planting,None because I'm old now,Mobile phone,Word of mouth,No,Farming,Church,500,"-29.5608669,30.4099296",Wife,2.0,Improved a bit,I came here after my brother used my husband money and he kick me out,rented,,Secondary,2014-01-01,KwaZulu-Natal,,,Part time job,Unemployed,No,The owner,"Corrugated iron sheets,Plywood,timber",,,None because it not my,"the thing worrying me I need the proper toilets, which will be near on other side of the settlement . I need to increase the tap water on top and bottom of the settlement","the thing makes me happy about living here, people are very friendly, I am happy to stay with them and they are like my family",,,https://files.ruralsenses.com/kobo-attachments/987582/183370132/1662646574372.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370132/1662646512263.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370132/1662646478394.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370132/1662646525141.jpg,,,,,https://files.ruralsenses.com/kobo-attachments/987582/183370132/1662646553442.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370132/1662646589868.jpg,,Make fire,By help coming form maspala,No,,Because the is no space,"Walking,minibus taxi",,Yes,5.0,"January,April,October","The bedding blankets has becoming wet, and water come inside, and we end up everything wet as the water was everywhere",Neighbour,,Yes,"The fire destroyed clothing, ID book and I did not able to take anything because the fire was too fast, and I ran out. The fire cause by the person who was drunk from other section and ended up affecting all of us.",Neighbour,Try to stop it by water,"House,Light Bulb,Mobile Phone",I choose water for cooking and bathing,I choose to meat because  I love eating meat,A house and I need the proper house which I will owned. I need the job and I need these two things in my life,"I choose the vegetables as it is the important food to eat, and it is good for the health","Mobile Phone,Toilet flush,Water","Meat,House,Water,Mobile Phone,Vegetables",Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634c6eb45d6326921bc708fd,2022-10-16T20:51:00,Yes,zu,188554394,,Sewing skills,Sewing skills,Mobile phone,Mobile phone,No,Cleaning,,1500,"-29.5600742,30.4094342",Father,3.0,Improved a lot,"what I like here is that it is close to the jobs where I work, and children near the school. and part-time job for people are close and able to walk.",fully owned,,Secondary,2017-01-01,KwaZulu-Natal,,,,Wage employee,No,Peace development forum,,,Furniture,,What I would change is that I would create the youth activities so that to stop using drugs. I would also change the houses we live in because they are cold and windy because they are made of wood,What makes me happy is that we cooperate as a local community and as neighbors they help us by donating,https://files.ruralsenses.com/kobo-attachments/987582/188554394/1662183920506.jpg,,,,https://files.ruralsenses.com/kobo-attachments/987582/188554394/1662183840841.jpg,https://files.ruralsenses.com/kobo-attachments/987582/188554394/1662183824200.jpg,https://files.ruralsenses.com/kobo-attachments/987582/188554394/1662183852730.jpg,https://files.ruralsenses.com/kobo-attachments/987582/188554394/1662183880666.jpg,https://files.ruralsenses.com/kobo-attachments/987582/188554394/1662183961334.jpg,,,,,https://files.ruralsenses.com/kobo-attachments/987582/188554394/1662183939426.jpg,Burn it,,No,,My yard is very small,minibus taxi,,Yes,,"April,December","water enters the house when you arrive everything is wet, even food. and the furniture get rotten","Friends,Family",Start afresh,Yes,The fire hurt me a lot because everything I had was burned. I didn't able to take anything and I was left with what I had wearing. I had to start everything from scratch.,,,"Mobile Phone,Fridge",The road is important because we use it when we walk on it and the cars use it.,borehole is the place where we get water,"The problem I have is that I don't work, I haven't found a job yet. My family is expecting me to support since there is covid and there is short time at work.","The fridge is important because it keeps our food from rotting, we put it there so that the food stays fresh.","Soap,Mobile Phone,Road","Mobile Phone,Fridge,Fire,Road,Borehole",,,,,,Community tap
634d2dc07e0dc47e05f02386,2022-10-17T10:26:08,Yes,en,181854244,"Yes,profiling",Cleaning skills to keep our settlement clean all the time,Computer skills,Mobile phone,Mobile phone,No,ISN,ISN,1000,"-29.5598185,30.4093861",Mother,3.0,Hasn't changed,"I came here because I was looking for a job and I didn't have the place to stay. it is much cheaper here and we do not pay rent. it is a nice place where we can stay with your family, and we get everything closer like shops and job hunting place.",fully owned,,Secondary,2014-01-01,KwaZulu-Natal,,,No job,Unemployed,,,"Corrugated iron sheets,Plywood,any recycled material",,,,"I would change the toilets; I would change the safeness; I would change the houses that we live in, I would change the tap, I would change the place to be cleaned because it is not hygienic, it is not a place where the children can grow up in.",What I like about staying in this community is that I do not pay rent. It is near the shops. That is all because there is nothing more that I like about staying in this settlement.,,,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037436650.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037392057.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037351056.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037284733.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037364626.jpg,,,,,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037427104.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037453324.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181854244/1662037464171.jpg,Burn it,,No,,No gardens,"Walking,minibus taxi",Windy weather conditions,No,,,,Neighbour,I'll try and drain water,Yes,"I was affected a lot by fire, and I lost everything, we lost lives, Id book and I become homeless, and we lost lots of things. we do not have place to sleep, to stay and we get together and stay together.",,,"Book and Pen,Vegetables,Light Bulb","Who is going to pay for me is important because I am a person who likes studying and here as we are a part of this project, we have to write down things that we have to remember. Also, since I was studying, pen and paper is very important to me.","It is important to me because if I am sick, I have to go and see the doctor. We may have a home remedy but not all sicknesses are healed by home remedies. Some of the things are treated by doctors","The three biggest things in my life are that i am unemployed, i am living in the settlement and i wish to live in a better place, i could not continue with my studies because not one helps me. sometimes i started at school and drop up at school because no one will support me. I lost both my parents.",It is important to me because wew are using the community toilets which is not safe and used by everybody. It is not safe for children and not healthy for us. We are using the same toilet. I prefer this one because I can use it and clean it on my own and keep it clean all the time.,"Soap,Mobile Phone,Light Bulb,Corrugated Iron Sheet","Corrugated Iron Sheet,Book and Pen,Mobile Phone,Doctor,Toilet Squat",No,,It's leaking Wich coarse flooding in our houses,"drinking,cooking,washing",Communal pit latrine,Community tap
634d363e5d6326921bc70922,2022-10-17T11:02:22,Yes,en,186107361,,Plumbing because it the passion I have since  I was young,"Plumbing, electricity and driving",Mobile phone,Mobile phone,No,,,1500,"-29.5597135,30.4094158",Other,2.0,Improved a bit,"This settlement is close to the infrastructure and the city next to it. Easy access to water and electricity. I can also put money aside when I earn money from work. It makes everything easy and there are shops nearby. When I go to work, I do not use transport, but I walk.",rented,,Secondary,2021-01-01,KwaZulu-Natal,Other,,,Wage employee,No,Sponser,"Corrugated iron sheets,Bricks,Plywood",,,Nothing because it does not belong to me,"The first thing I would do is change the toilets and make them more spacious. I can put in containers that will have flushable toilets and there will be showers so that if someone does not like to take a shower in the house, they can take a shower in that container. Or we want to wash our clothes, we can wash them in that container so that there is a place where we can meet.",Only three. Basic needs. Water is available. Electricity is available. The place we live in is friendly. The people there are free. There is no noise and no crime. When I go to work I get there without walking a long distance. There are no additional costs that I will take out of this small salary that I earn. That helps me save money.,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287402317.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287378879.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287324902.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287253253.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287440841.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287364873.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287416302.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107361/1662287426502.jpg,Burn my garbage,,No,,I have no time because of work,"Walking,minibus taxi",,No,,,,"Friends,Family,NGO",Ask for help in the community,No,,"Friends,Family,NGO,Firefighter",Move away from the scene,"Mobile Phone,House,Meat",The toilet is very important because it keeps the place clean so that we do not go pooping anywhere so that the environment we live in is healthy and clean. Having a toilet is useful because if it is not there it can cause many diseases. Having a toilet allows us to avoid pollution in our area. The toilet is important because our place is always clean.,"A bicycle is also a vehicle because you ride it, it helps you when you go to work and it helps you to keep your body healthy because you go for exercise on a bicycle. A bicycle is a transport because it takes you where you want.","The first problem is the money problem, the money I have it doesn't sustain me to be able to do other things. Other thing are the job opportunities are very scarce not easy to find. The financial issues are the major problem.","Water is important to my health because it keeps me physically clean and cleans where we live. they clean clothes, we also drink, they are needed by the body to keep us healthy. everything needs water, you cannot live without water.","Water,House,Meat,Mobile Phone","House,Meat,Water,Toilet flush,Bike",Yes,Bathing and cleaning,,"drinking,cooking,washing,other (specify)",Communal pit latrine,Community tap
634d3b975385f7ab67ba098c,2022-10-17T11:25:11,Yes,en,183370102,,Singing because I love it,Singing because we can make money by singing,Word of mouth,Word of mouth,No,,,<500,"-29.5611235,30.4101532",Mother,2.0,Improved a bit,I was born here in 1987 and I grew up in this place until now I still live here.,fully owned,,Secondary,1987-01-01,KwaZulu-Natal,,,Grant support,Unemployed,Yes,,"Corrugated iron sheets,Plywood,plastic",,Cha akukho,Ngingalungisa irufu Kanye newindi,"I can change that we have one tap water and there are many people who are sharing one tap water.  Sometimes the water runs out. I would like to have two or three taps, flush toilets so that our children can be safe. I can also change the houses we live in so that they don't burn easily and when it rains water not coming inside into the houses.","Jobs are available when they come, especially for domestic work. We do not need transport when we go shopping.",,,https://files.ruralsenses.com/kobo-attachments/987582/183370102/1662641525581.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370102/1662641464614.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370102/1662641425304.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370102/1662641482537.jpg,,,,,https://files.ruralsenses.com/kobo-attachments/987582/183370102/1662641515140.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370102/1662641548857.jpg,,Ngiyawushisa,Ngokuthi umasipala usilekelele ngokuwulanda,No,,Anginayo indawo,minibus taxi,,Yes,2.0,"January,April","The floods took my clothes that I worked hard for, and my little table that I bought with the little money that I worked hard for and ended up destroying my shack that I worked hard to build and now I had to start from scratch.",Municipal officers,,Yes,"The fire took my mother's life, and all my possessions were burned. now I'm starting everything from scratch because everything was burnt. all the clothes and the ID were burnt, I also survived by luck as I said that my mother died because of the fire.",Neighbour,To help me stop it,"House,Borehole,Fire","The tap is important because it gives me water so I am able to clean, I can wash, and I can bath.  Where I live, the tap is very close to where I live.","I chose a bible, I pray with it, I live with it. I pray to be safe from these things that worry me. the bible strengthens me to survive even now. I get strength from the bible.","Working so that I can raise my children, having a house so that they can grow up in a warm home, and money so that we will live well in that house that we will be living in.",Soap is important for me to bath and wash so that I am always clean.,"Soap,Water","House,Fire,Soap,Borehole,Book and Pen",Yes,,,"drinking,cooking,washing",Open defication,Community tap
634d3f6d5d6326921bc7095d,2022-10-17T11:41:33,Yes,en,181857915,,Soccer,Soccer,Mobile phone,Word of mouth,No,,,1500,"-29.5601117,30.4091434",Father,2.0,Improved a bit,I came here to try job opportunities so I can look after my life. Job opportunities are available here.,fully owned,,Secondary,2017-01-01,Eastern Cape,Shop employee,,,Wage employee,No,Volunteer,"Corrugated iron sheets,Plywood,timber",,,,I can change the way we live and change the houses we live in. There is so much I could change here. I can be a committee member; we can collect garbage and fence this a community. There is a lot I can change in this informal settlement.,"the good thing here is that the job opportunities are close by and there are people who come to donate because they see that since we live here, we are poor and suffering and they come to help us",,,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032606506.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032501087.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032486821.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032512915.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032542457.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032675687.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032577633.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032624254.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857915/1662032657431.jpg,Burn,,No,,No material,Walking,,Yes,3.0,"January,March,April,February,August,July",,,,Yes,"The fire did terrible things because it burned our IDs. It burned our clothes, burned beds and TVs and other important things. Many of our things were destroyed by fire.",Neighbour,Call others,"Corrugated Iron Sheet,Solar PV System","The bicycle is important because it is part of the transport, it helps me get to where I am going quickly. It is light feet.","Rainwater is very important because it grows fruit, and it helps because we get drinking water if it does not come from the tap. Rainwater makes life easier, and water is part of life.","The biggest problem is the destruction of our houses, the shooting of people during the looting, and we are just suffering and very poor here in the informal settlement.",The phone is very important because you can contact your friends and family if there is something urgent for you and you can contact them. the phone makes you get help right away.,"Doctor,Soap","Doctor,Meat,Mobile Phone,Bike,Rainwater Harvesting System",No,,One tap,"cooking,drinking,washing",,Community tap
634d4a39dc90dc03de4204e5,2022-10-17T12:27:37,Yes,zu,181852526,,,,Word of mouth,Word of mouth,No,,,<500,"-29.5622813,30.4089424",Wife,2.0,Hasn't changed,"I came here because I wanted to, and I was looking for a job. The problem it is not easy to find that job",fully owned,,Primary,2012-01-01,Eastern Cape,,,Getting a peace job,Unemployed,Yes,,"Corrugated iron sheets,Plywood,timber",,,,I would like to change the subject of toilets. I would like to change the houses we live in because it rains.,"I like this place because job opportunities are there, and the Indian people give us food. I like this place because we get free food and I do not pay rent. Amatoilet awekho.",https://files.ruralsenses.com/kobo-attachments/987582/181852526/1662286924794.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181852526/1662286898785.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181852526/1662286840221.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181852526/1662286809367.jpg,,,,,,https://files.ruralsenses.com/kobo-attachments/987582/181852526/1662286878002.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181852526/1662286944328.jpg,,I burn it,If the Municipality can come to us,No,,There is no space,minibus taxi,,Yes,4.0,"January,February,April,December",The floods disturb me a lot because my clothes got wet and everything in the house got wet. water coming into the house not from the roof.,Neighbour,I can call the neighbors,No,,Neighbour,I tried to call out to the neighbors,"House,Soap",Chicken is important because it gives me meat and eggs,Electricity is important because I cook with it and I light it and I charge phones with it.,My problem is that there is no job. A man beats me. There is no work.,"It is important because I eat it to be healthy. When I go to look for vegetables from my neighbor, I find wild herbs there.","Soap,Vegetables,House,Toilet Squat","Chicken,Toilet Squat,River,Light Bulb,Vegetables",Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634d4f7c5385f7ab67ba09bf,2022-10-17T12:50:04,Yes,zu,183370122,,Singing because I love it and I can make money by singing,,Word of mouth,Word of mouth,No,,,<500,"-29.5611763,30.4103225",Wife,5.0,Improved a bit,It is close to the shops and we can also look for a job. There is no work at home.,rented,,Secondary,2022-01-01,KwaZulu-Natal,,,By part time job,Unemployed,No,The owner,"Corrugated iron sheets,Plywood,plastic",,,I can fix the roof so we can sleep nice,things I can change this place to be safe and we have one tap we all share this tap. the houses we live in are not right. These houses are dangerous because they are easy to burn or blow away by wind.,Because I can walk to Shoprite. Shops are nearby and job opportunities are available nearby.,,,https://files.ruralsenses.com/kobo-attachments/987582/183370122/1662644717448.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370122/1662644651068.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370122/1662644614253.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370122/1662644663090.jpg,,,,,https://files.ruralsenses.com/kobo-attachments/987582/183370122/1662644699899.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370122/1662644737860.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370122/1662644775153.jpg,We burn it,By help coming from the Municipality,No,,I have no space to grow vegetables,minibus taxi,,Yes,2.0,August,The floods bothered me because it was raining on the bed and where the stove sits. It's raining all over the house and we don't even know how we are going to sleep if it's raining.,Neighbour,,No,,Neighbour,,"House,Fire,Borehole","Fire is important because I can cook with fire. When I am going to take a bath, I put water on the fire. I also boil it when I need to wash dishes.",I chose a borehole because you can control it the way you want the water to come out.,"The problems I have can only be solved by getting a job. The other problem is I want to stay at home and stop lying and stop using drugs, I would be happy to get an ID book and I will be able to do many things because if you don't have an ID you can't do the things you want.","I chose soap because I can wash my clothes so they will be clean. I also washing using soap, if you wash without soap, you are not clean. soap can clean the house with.","Meat,Toilet flush,Water,Soap","House,Borehole,Water,Fire,Soap",Yes,,,"drinking,cooking,washing",Open defication,Community tap
634d92d65d6326921bc7098d,2022-10-17T17:37:26,Yes,en,186107608,ISN,Ukufuya ngifayise,Ngingafuya,Radio,Mobile phone,Yes,Farming,Stokvel,1000,"-29.5598634,30.4094023",Mother,7.0,Improved a bit,I came here because I want my children to leave Bantu education. I also studied here.,fully owned,,Higher eduction,2001-01-01,KwaZulu-Natal,,,Grant money,Housework (unpaid),No,Ngadonethelwa,"Corrugated iron sheets,timber,Bricks",,Akukho,Akukho,"The thing I would like to change in this area are the slums of these houses, and we are not safe, it would be better if we could build RDP houses right here.","the place where I live makes me happy because it is close to the school where my children study, it is close to the city, so I don't have to ride if I need to buy something. and part-time jobs are also available in this area.",,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890520752.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890614923.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890508540.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890471809.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890435674.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890491837.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890561488.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/186107608/1662890531267.jpg,,,Syawushisa,,No,,Anginayo imali yokuthenga ithombo,minibus taxi,Ugesi ongekho emthethweni,Yes,3.0,"March,November","That rain ruined the clothes and furniture, it just ruined a lot because it ruined the house too.",Neighbour,Ukubaleka nengane,Yes,the fire burned our houses and goods and the children died.,Neighbour,Ngyabaleka nomndeni wam,"Fridge,House,Vegetables,Meat,Chicken","The garden is important because if I do not have money to buy vegetables, that is where I get vegetables from",I just eat meat because it has its vitamins and nutrients that I need to live.,"Not having a job, and not being able to pay the school fees for the children and not getting support for the house.",The toilet is life because it is where we relieve ourselves,"Vegetables,Water,House,Book and Pen,Doctor","Meat,Borehole,Vegetables,Toilet flush,Crops",Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634da0d741abeae6e45648ff,2022-10-17T18:37:11,Yes,zu,183370148,No training has been received,It is the football so that to reduce children who live in the street,There is none,Social events,Word of mouth,No,Cleaning around,,2000,"-29.5599228,30.4091555",Uncle,3.0,Improved a bit,"I came here because I was looking for job opportunities, because there are no job opportunities where I come from. I decided to come here so that I can get my life back together because it's better here than other places.",rented,,Secondary,2018-01-01,KwaZulu-Natal,,,Piece jobs,Unemployed,No,The owner was also subsidized after the fire burnt down his/her own house,"Corrugated iron sheets,timber,other (specify)",Nails,There is none,Nothing because it's not mine,"The thing I would like to change would be houses, I could build RDP houses for people. I would chnage by starting a football team so that children don't get into drugs.",The thing that makes me happy about living here is that the rent here is not expensive since I don't have a house. it is close to the city and easy to walk if you are looking for job opportunities.,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660190953.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660174304.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660060734.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660034875.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660078382.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660239352.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660152523.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370148/1662660209203.jpg,,I burn it,I would like the municipality to intervene so that our area will be cleaned,No,,There is no place,"Walking,minibus taxi",,No,,,,Neighbour,I will see by that time,No,,Neighbour,I will take my Id book first and try to stop it with water,"Soap,Toilet flush","I chose a globe because electricity is what lights it up, when I light a candle it's hard to see because I'm used to lighting electricity.","I chose meat because it is important for my body because you get certain proteins, at home we raise chickens and eat them with my family.","If I can continue with school since I have standard 5, I should continue until I reach to standard 10, because it would enable me to get a good job. I could find a right house because the one I have is not in the right condition for staying a person.","I chose a doctor because the state of health in these days is not good because of many diseases, if I feel that I have a problem, I have to go to the doctor. if I have a disease and, in the clinic does not find it but the doctor will be easy because he /she trained to look for diseases.","Toilet flush,Soap,House","Mobile Phone,Light Bulb,Meat,Doctor,Shower",Yes,,,"drinking,cooking,washing",Ablution block,Community tap
634dad2bfafe37fd0b1bd1cf,2022-10-17T19:29:47,Yes,en,188554530,,Netball,Netball,Mobile phone,Word of mouth,No,,,1500,"-29.5596458,30.4092838",Mother,3.0,Improved a lot,I came here because I want to look for job opportunities. it is close with the places where we can get the job. There are many job opportunities in this area.,fully owned,,Secondary,2019-01-01,KwaZulu-Natal,,,,Unemployed,No,Municipality,"Corrugated iron sheets,timber,Plywood",,,,The thing I can change here are the toilets and tap water because the tap not enough for the community and toilet not in a good condition in this place.,"What makes me happy is that everything here is close by, schools, shops, hospitals and clinics are close by so if you get sick it's easy to get there.",,,https://files.ruralsenses.com/kobo-attachments/987582/188554530/1664286769465.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/188554530/1664286728250.jpg,https://files.ruralsenses.com/kobo-attachments/987582/188554530/1664286715416.jpg,https://files.ruralsenses.com/kobo-attachments/987582/188554530/1664286742646.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/188554530/1664286847219.jpg,,,,https://files.ruralsenses.com/kobo-attachments/987582/188554530/1664286793420.jpg,https://files.ruralsenses.com/kobo-attachments/987582/188554530/1664286812683.jpg,Burn,,No,,,Walking,,Yes,2.0,"February,April,October,November",The floods ruined many things and I had to start all over again and there is no money to buy the things that were ruined.,Municipal officers,Call neighbours,Yes,"The fire destroyed so much that nothing was left. I was left with what I was wearing, we tried to take something out of the house, but we were too shocked or lost the mind and we put it on the door, and it burned.","Municipal officers,Firefighter",Switch it off,"Chicken,Meat,Vegetables,Solar PV System,Mobile Phone","the toilet is useful because we use it and the flushed one is safe because it does not make you sick, it is not the same as the one in the pit because it has infections and smell","Water is a daily need for us, we need it because we cook with it, we bath with it and we wash, we are nothing without water.",The first problem was that we were burnt by the Indians and many houses were burnt. we were shot and it was hard because there were also children around. Another problem was the recent floods.,"The phone is important because if there is a problem or I am not around anyone, I can call and get help. The phone allows you to connect with people who are far away from you and people who are close to you.","Vegetables,Toilet flush,Fridge,Soap,Fire","Fire,Water,Mobile Phone,Toilet flush,Book and Pen",Yes,,,"washing,cooking,drinking",Communal pit latrine,Community tap
